Sigla,Código,Município,Programa Bolsa Família (PBF) - número de benefícios em dezembro (2021),Programa Bolsa Família (PBF) - valor total dos benefícios em dezembro (2021),
MA,2112209,Timon,21113,4590.684,
MA,2112233,Trizidela do Vale,3208,592.115,
MA,2112274,Tufilândia,1244,400.057,
MA,2112308,Tuntum,5511,1141.248,
MA,2112407,Turiaçu,6352,1908.765,
MA,2112456,Turilândia,5291,1313.159,
MA,2112506,Tutóia,9219,2584.002,
MA,2112605,Urbano Santos,5922,1714.966,
MA,2112704,Vargem Grande,7315,2360.794,
MA,2112803,Viana,8920,1905.794,
MA,2112852,Vila Nova dos Martírios,1261,336.516,
MA,2112902,Vitória do Mearim,5195,1394.726,
MA,2113009,Vitorino Freire,5585,1457.493,
MA,2114007,Zé Doca,6927,1429.599,
MG,3100104,Abadia dos Dourados,261,43.541,
MG,3100203,Abaeté,790,156.288,
MG,3100302,Abre Campo,1044,215.726,
MG,3100401,Acaiaca,437,93.122,
MG,3100500,Açucena,854,182.053,
MG,3100609,Água Boa,2147,547.058,
MG,3100708,Água Comprida,122,26.423,
MG,3100807,Aguanil,254,60.166,
MG,3100906,Águas Formosas,2727,681.132,
MG,3101003,Águas Vermelhas,2116,596.735,
MG,3101102,Aimorés,2043,419.353,
MG,3101201,Aiuruoca,259,45.489,
MG,3101300,Alagoa,235,49.667,
MG,3101409,Albertina,94,21.144,
MG,3101508,Além Paraíba,1963,458.571,
MG,3101607,Alfenas,2772,544.043,
MG,3101631,Alfredo Vasconcelos,414,81.921,
MG,3101706,Almenara,5092,1130.484,
MG,3101805,Alpercata,764,183.517,
MG,3101904,Alpinópolis,712,124.027,
MG,3102001,Alterosa,808,207.597,
MG,3102050,Alto Caparaó,447,91.601,
MG,3102100,Alto Rio Doce,1418,273.901,
MG,3102209,Alvarenga,633,133.567,
MG,3102308,Alvinópolis,1214,252.827,
MG,3102407,Alvorada de Minas,584,136.466,
MG,3102506,Amparo do Serra,548,146.537,
MG,3102605,Andradas,985,170.587,
MG,3102704,Cachoeira de Pajeú,1588,408.383,
MG,3102803,Andrelândia,1083,202.671,
MG,3102852,Angelândia,1040,280.137,
MG,3102902,Antônio Carlos,637,127.745,
MG,3103009,Antônio Dias,804,168.78,
MG,3103108,Antônio Prado de Minas,116,21.334,
MG,3103207,Araçaí,176,46.249,
MG,3103306,Aracitaba,141,22.476,
MG,3103405,Araçuaí,3622,726.073,
MG,3103504,Araguari,4093,879.16,
MG,3103603,Arantina,255,49.132,
MG,3103702,Araponga,526,89.641,
MG,3103751,Araporã,299,62.001,
MG,3103801,Arapuá,107,22.731,
MG,3103900,Araújos,167,35.137,
MG,3104007,Araxá,3155,829.493,
MG,3104106,Arceburgo,241,61.612,
MG,3104205,Arcos,1340,298.129,
MG,3104304,Areado,516,103.641,
MG,3104403,Argirita,226,46.966,
MG,3104452,Aricanduva,669,118.851,
MG,3104502,Arinos,2451,619.192,
MG,3104601,Astolfo Dutra,584,119.984,
MG,3104700,Ataléia,1937,353.926,
MG,3104809,Augusto de Lima,486,109.276,
MG,3104908,Baependi,1329,304.805,
MG,3105004,Baldim,619,142.803,
MG,3105103,Bambuí,691,148.393,
MG,3105202,Bandeira,526,93.256,
MG,3105301,Bandeira do Sul,191,36.04,
MG,3105400,Barão de Cocais,1446,287.351,
MG,3105509,Barão de Monte Alto,533,121.044,
MG,3105608,Barbacena,5383,1082.44,
MG,3105707,Barra Longa,606,145.709,
MG,3105905,Barroso,1728,404.386,
MG,3106002,Bela Vista de Minas,651,151.358,
MG,3106101,Belmiro Braga,175,33.466,
MG,3106200,Belo Horizonte,70411,14998.685,
MG,3106309,Belo Oriente,2046,434.112,
MG,3106408,Belo Vale,471,98.796,
MG,3106507,Berilo,1209,281.753,
MG,3106606,Bertópolis,796,230.71,
MG,3106655,Berizal,816,234.471,
MG,3106705,Betim,25115,6036.02,
MG,3106804,Bias Fortes,470,111.146,
MG,3106903,Bicas,849,211.28,
MG,3107000,Biquinhas,227,52.741,
MG,3107109,Boa Esperança,1517,311.483,
MG,3107208,Bocaina de Minas,487,110.071,
MG,3107307,Bocaiúva,5079,1289.077,
MG,3107406,Bom Despacho,1585,356.25,
MG,3107505,Bom Jardim de Minas,551,105.351,
MG,3107604,Bom Jesus da Penha,211,51.91,
MG,3107703,Bom Jesus do Amparo,399,96.317,
MG,3107802,Bom Jesus do Galho,2191,524.736,
MG,3107901,Bom Repouso,825,139.556,
MG,3108008,Bom Sucesso,473,78.123,
MG,3108107,Bonfim,656,133.388,
MG,3108206,Bonfinópolis de Minas,290,57.39,
MG,3108255,Bonito de Minas,1511,497.513,
MG,3108305,Borda da Mata,741,160.032,
MG,3108404,Botelhos,681,125.02,
MG,3108503,Botumirim,908,250.574,
MG,3108552,Brasilândia de Minas,1387,362.672,
MG,3108602,Brasília de Minas,3604,706.677,
MG,3108701,Brás Pires,533,110.25,
MG,3108800,Braúnas,507,106.23,
MG,3108909,Brasópolis,462,82.048,
MG,3109006,Brumadinho,1270,277.536,
MG,3109105,Bueno Brandão,427,83.145,
MG,3109204,Buenópolis,902,189.922,
MG,3109253,Bugre,507,112.217,
MG,3109303,Buritis,2199,449.519,
MG,3109402,Buritizeiro,3453,671.775,
MG,3109451,Cabeceira Grande,585,118.479,
MG,3109501,Cabo Verde,598,120.842,
MG,3109600,Cachoeira da Prata,142,28.649,
MG,3109709,Cachoeira de Minas,328,57.851,
MG,3109808,Cachoeira Dourada,89,21.427,
MG,3109907,Caetanópolis,599,129.387,
MG,3110004,Caeté,1607,285.638,
MG,3110103,Caiana,442,85.915,
MG,3110202,Cajuri,417,96.219,
MG,3110301,Caldas,659,124.961,
MG,3110400,Camacho,135,20.583,
MG,3110509,Camanducaia,1086,226.459,
MG,3110608,Cambuí,923,196.443,
MG,3110707,Cambuquira,847,195.217,
MG,3110806,Campanário,559,121.899,
MG,3110905,Campanha,740,148.815,
MG,3111002,Campestre,495,97.36,
MG,3111101,Campina Verde,876,147.551,
MG,3111150,Campo Azul,744,186.576,
MG,3111200,Campo Belo,2339,422.314,
MG,3111309,Campo do Meio,760,200.061,
MG,3111408,Campo Florido,544,151.673,
MG,3111507,Campos Altos,594,160.536,
MG,3111606,Campos Gerais,1296,261.182,
MG,3111705,Canaã,433,85.987,
MG,3111804,Canápolis,420,78.513,
MG,3111903,Cana Verde,347,60.436,
MG,3112000,Candeias,709,131.942,
MG,3112059,Cantagalo,449,105.889,
MG,3112109,Caparaó,631,135.722,
MG,3112208,Capela Nova,430,88.274,
MG,3112307,Capelinha,3056,571.098,
MG,3112406,Capetinga,422,89.088,
MG,3112505,Capim Branco,434,90.678,
MG,3112604,Capinópolis,735,151.511,
MG,3112653,Capitão Andrade,616,137.602,
MG,3112703,Capitão Enéas,1786,508.074,
MG,3112802,Capitólio,143,27.046,
MG,3112901,Caputira,1186,248.229,
MG,3113008,Caraí,3109,792.513,
MG,3113107,Caranaíba,315,65.101,
MG,3113206,Carandaí,1607,395.764,
MG,3113305,Carangola,2265,466.513,
MG,3113404,Caratinga,3947,713.635,
MG,3113503,Carbonita,1026,198.667,
MG,3113602,Careaçu,345,73.573,
MG,3113701,Carlos Chagas,2135,463.482,
MG,3113800,Carmésia,157,35.591,
MG,3113909,Carmo da Cachoeira,689,129.336,
MG,3114006,Carmo da Mata,490,90.721,
MG,3114105,Carmo de Minas,887,209.085,
MG,3114204,Carmo do Cajuru,476,92.848,
MG,3114303,Carmo do Paranaíba,1245,255.519,
MG,3114402,Carmo do Rio Claro,915,174.378,
MG,3114501,Carmópolis de Minas,585,102.294,
MG,3114550,Carneirinho,331,66.033,
MG,3114600,Carrancas,153,28.202,
MG,3114709,Carvalhópolis,116,20.233,
MG,3114808,Carvalhos,493,103.281,
MG,3114907,Casa Grande,103,23.236,
MG,3115003,Cascalho Rico,139,32.378,
MG,3115102,Cássia,780,179.316,
MG,3115201,Conceição da Barra de Minas,332,57.11,
MG,3115300,Cataguases,2340,390.136,
MG,3115359,Catas Altas,244,49.899,
MG,3115409,Catas Altas da Noruega,347,81.336,
MG,3115458,Catuji,1255,297.908,
MG,3115474,Catuti,844,190.029,
MG,3115508,Caxambu,1193,253.151,
MG,3115607,Cedro do Abaeté,82,14.522,
MG,3115706,Central de Minas,853,206.421,
MG,3115805,Centralina,863,140.723,
MG,3115904,Chácara,223,47.524,
MG,3116001,Chalé,1026,214.57,
MG,3116100,Chapada do Norte,1225,314.768,
MG,3116159,Chapada Gaúcha,1711,525.116,
MG,3116209,Chiador,225,51.586,
MG,3116308,Cipotânea,781,129.537,
MG,3116407,Claraval,238,53.68,
MG,3116506,Claro dos Poções,960,199.084,
MG,3116605,Cláudio,734,150.347,
MG,3116704,Coimbra,579,114.864,
MG,3116803,Coluna,1149,263.024,
MG,3116902,Comendador Gomes,259,63.659,
MG,3117009,Comercinho,1359,351.157,
MG,3117108,Conceição da Aparecida,539,100.917,
MG,3117207,Conceição das Pedras,200,38.626,
MG,3117306,Conceição das Alagoas,954,179.749,
MG,3117405,Conceição de Ipanema,554,110.303,
MG,3117504,Conceição do Mato Dentro,1922,477.939,
MG,3117603,Conceição do Pará,220,48.69,
MG,3117702,Conceição do Rio Verde,951,211.578,
MG,3117801,Conceição dos Ouros,402,88.183,
MG,3117836,Cônego Marinho,1212,356.462,
MG,3117876,Confins,237,49.254,
MG,3117900,Congonhal,481,91.344,
MG,3118007,Congonhas,1406,249.59,
MG,3118106,Congonhas do Norte,512,137.351,
MG,3118205,Conquista,294,73.45,
MG,3118304,Conselheiro Lafaiete,2211,381.505,
MG,3118403,Conselheiro Pena,2233,475.081,
MG,3118502,Consolação,177,39.476,
MG,3118601,Contagem,25705,5565.234,
MG,3118700,Coqueiral,695,142.899,
MG,3118809,Coração de Jesus,3807,851.688,
MG,3118908,Cordisburgo,785,177.534,
MG,3119005,Cordislândia,304,73.595,
MG,3119104,Corinto,1829,355.463,
MG,3119203,Coroaci,1076,237.124,
MG,3119302,Coromandel,1233,214.087,
MG,3119401,Coronel Fabriciano,5793,1215.32,
MG,3119500,Coronel Murta,1082,258.998,
MG,3119609,Coronel Pacheco,165,36.755,
MG,3119708,Coronel Xavier Chaves,143,29.034,
MG,3119807,Córrego Danta,98,22.36,
MG,3119906,Córrego do Bom Jesus,165,32.614,
MG,3119955,Córrego Fundo,91,15.599,
MG,3120003,Córrego Novo,372,86.803,
MG,3120102,Couto de Magalhães de Minas,479,133.096,
MG,3120151,Crisólita,925,248.23,
MG,3120201,Cristais,541,107.793,
MG,3120300,Cristália,1416,377.406,
MG,3120409,Cristiano Otoni,292,64.213,
MG,3120508,Cristina,485,103.636,
MG,3120607,Crucilândia,313,54.569,
MG,3120706,Cruzeiro da Fortaleza,271,78.18,
MG,3120805,Cruzília,1164,257.444,
MG,3120839,Cuparaque,427,105.628,
MG,3120870,Curral de Dentro,1391,396.614,
MG,3120904,Curvelo,4694,1024.952,
MG,3121001,Datas,623,160.489,
MG,3121100,Delfim Moreira,477,100.224,
MG,3121209,Delfinópolis,265,52.844,
MG,3121258,Delta,822,221.926,
MG,3121308,Descoberto,357,75.077,
MG,3121407,Desterro de Entre Rios,354,60.63,
MG,3121506,Desterro do Melo,281,50.282,
MG,3121605,Diamantina,3541,769.936,
MG,3121704,Diogo de Vasconcelos,472,98.269,
MG,3121803,Dionísio,627,134.165,
MG,3121902,Divinésia,224,52.259,
MG,3122009,Divino,2018,392.705,
MG,3122108,Divino das Laranjeiras,645,145.292,
MG,3122207,Divinolândia de Minas,851,231.6,
MG,3122306,Divinópolis,3563,634.514,
MG,3122355,Divisa Alegre,926,208.566,
MG,3122405,Divisa Nova,241,53.789,
MG,3122454,Divisópolis,1494,422.355,
MG,3122470,Dom Bosco,386,74.942,
MG,3122504,Dom Cavati,279,58.812,
MG,3122603,Dom Joaquim,565,146.797,
MG,3122702,Dom Silvério,298,75.629,
MG,3122801,Dom Viçoso,127,19.443,
MG,3122900,Dona Eusébia,271,52.701,
MG,3123007,Dores de Campos,275,45.374,
MG,3123106,Dores de Guanhães,414,94.797,
MG,3123205,Dores do Indaiá,552,92.302,
MG,3123304,Dores do Turvo,447,94.369,
MG,3123403,Doresópolis,91,20.116,
MG,3123502,Douradoquara,105,21.903,
MG,3123528,Durandé,820,142.979,
MG,3123601,Elói Mendes,1006,226.562,
MG,3123700,Engenheiro Caldas,992,211.767,
MG,3123809,Engenheiro Navarro,1280,330.857,
MG,3123858,Entre Folhas,533,91.12,
MG,3123908,Entre Rios de Minas,671,124.261,
MG,3124005,Ervália,1311,208.644,
MG,3124104,Esmeraldas,5154,1158.544,
MG,3124203,Espera Feliz,2065,372.955,
MG,3124302,Espinosa,4273,944.111,
MG,3124401,Espírito Santo do Dourado,348,59.359,
MG,3124500,Estiva,486,89.764,
MG,3124609,Estrela Dalva,172,39.862,
MG,3124708,Estrela do Indaiá,127,21.962,
MG,3124807,Estrela do Sul,381,88.954,
MG,3124906,Eugenópolis,950,195.325,
MG,3125002,Ewbank da Câmara,443,120.663,
MG,3125101,Extrema,819,162.046,
MG,3125200,Fama,97,19.929,
MG,3125309,Faria Lemos,334,81.078,
MG,3125408,Felício dos Santos,681,132.674,
MG,3125507,São Gonçalo do Rio Preto,335,80.889,
MG,3125606,Felisburgo,1092,290.71,
MG,3125705,Felixlândia,983,184.571,
MG,3125804,Fernandes Tourinho,236,50.171,
MG,3125903,Ferros,831,149.103,
MG,3125952,Fervedouro,1126,217.726,
MG,3126000,Florestal,209,44.444,
MG,3126109,Formiga,1823,360.16,
MG,3126208,Formoso,1266,378.18,
MG,3126307,Fortaleza de Minas,111,20.858,
MG,3126406,Fortuna de Minas,162,40.2,
MG,3126505,Francisco Badaró,993,200.787,
MG,3126604,Francisco Dumont,634,137.076,
MG,3126703,Francisco Sá,3041,590.072,
MG,3126752,Franciscópolis,777,177.747,
MG,3126802,Frei Gaspar,911,242.499,
MG,3126901,Frei Inocêncio,1411,349.091,
MG,3126950,Frei Lagonegro,586,114.344,
MG,3127008,Fronteira,817,191.057,
MG,3127057,Fronteira dos Vales,875,233.799,
MG,3127073,Fruta de Leite,679,187.363,
MG,3127107,Frutal,1681,315.564,
MG,3127206,Funilândia,432,104.689,
MG,3127305,Galiléia,683,140.248,
MG,3127339,Gameleiras,694,178.289,
MG,3127354,Glaucilândia,367,64.793,
MG,3127370,Goiabeira,367,74.472,
MG,3127388,Goianá,236,53.857,
MG,3127404,Gonçalves,107,16.304,
MG,3127503,Gonzaga,612,127.305,
MG,3127602,Gouveia,612,121.705,
MG,3127701,Governador Valadares,12820,2458.885,
MG,3127800,Grão Mogol,1405,297.1,
MG,3127909,Grupiara,40,8.113,
MG,3128006,Guanhães,2050,443.366,
MG,3128105,Guapé,518,100.791,
MG,3128204,Guaraciaba,1039,226.055,
MG,3128253,Guaraciama,798,191.149,
MG,3128303,Guaranésia,640,131.835,
MG,3128402,Guarani,515,127.74,
MG,3128501,Guarará,304,81.896,
MG,3128600,Guarda-Mor,322,58.651,
MG,3128709,Guaxupé,1509,312.937,
MG,3128808,Guidoval,502,128.466,
MG,3128907,Guimarânia,576,130.749,
MG,3129004,Guiricema,562,120.015,
MG,3129103,Gurinhatã,387,66.033,
MG,3129202,Heliodora,325,68.767,
MG,3129301,Iapu,1023,180.824,
MG,3129400,Ibertioga,452,101.767,
MG,3129509,Ibiá,1021,197.828,
MG,3129608,Ibiaí,1131,255.056,
MG,3129657,Ibiracatu,902,190.445,
MG,3129707,Ibiraci,481,124.593,
MG,3129806,Ibirité,9405,1922.078,
MG,3129905,Ibitiúra de Minas,200,40.073,
MG,3130002,Ibituruna,209,53.349,
MG,3130051,Icaraí de Minas,1400,350.231,
MG,3130101,Igarapé,2482,568.557,
MG,3130200,Igaratinga,253,50.822,
MG,3130309,Iguatama,397,94.896,
MG,3130408,Ijaci,326,98.975,
MG,3130507,Ilicínea,569,112.849,
MG,3130556,Imbé de Minas,1207,246.342,
MG,3130606,Inconfidentes,295,49.896,
MG,3130655,Indaiabira,1020,256.535,
MG,3130705,Indianópolis,410,90.713,
MG,3130804,Ingaí,139,26.471,
MG,3130903,Inhapim,2761,524.99,
MG,3131000,Inhaúma,587,160.397,
MG,3131109,Inimutaba,607,143.991,
MG,3131158,Ipaba,1277,292.14,
MG,3131208,Ipanema,1672,347.458,
MG,3131307,Ipatinga,11722,2698.984,
MG,3131406,Ipiaçu,242,54.175,
MG,3131505,Ipuiúna,462,74.817,
MG,3131604,Iraí de Minas,449,129.203,
MG,3131703,Itabira,4072,853.757,
MG,3131802,Itabirinha de Mantena,959,183.846,
MG,3131901,Itabirito,1312,285.85,
MG,3132008,Itacambira,706,192.913,
MG,3132107,Itacarambi,1974,468.173,
MG,3132206,Itaguara,539,104.555,
MG,3132305,Itaipé,1770,577.297,
MG,3132404,Itajubá,3276,734.677,
MG,3132503,Itamarandiba,2809,556.201,
MG,3132602,Itamarati de Minas,216,48.08,
MG,3132701,Itambacuri,2955,693.08,
MG,3132800,Itambé do Mato Dentro,152,34.066,
MG,3132909,Itamogi,403,87.911,
MG,3133006,Itamonte,530,96.694,
MG,3133105,Itanhandu,376,78.905,
MG,3133204,Itanhomi,772,138.361,
MG,3133303,Itaobim,2086,519.211,
MG,3133402,Itapagipe,627,130.975,
MG,3133501,Itapecerica,824,182.479,
MG,3133600,Itapeva,593,119.873,
MG,3133709,Itatiaiuçu,632,126.789,
MG,3133758,Itaú de Minas,402,73.221,
MG,3133808,Itaúna,2361,481.976,
MG,3133907,Itaverava,485,126.264,
MG,3134004,Itinga,2069,511.206,
MG,3134103,Itueta,653,147.239,
MG,3134202,Ituiutaba,2399,412.782,
MG,3134301,Itumirim,381,84.765,
MG,3134400,Iturama,1994,517.224,
MG,3134509,Itutinga,226,41.575,
MG,3134608,Jaboticatubas,995,218.519,
MG,3134707,Jacinto,1559,401.036,
MG,3134806,Jacuí,232,45.113,
MG,3134905,Jacutinga,555,113.426,
MG,3135001,Jaguaraçu,156,31.053,
MG,3135050,Jaíba,5576,1570.718,
MG,3135076,Jampruca,775,212.693,
MG,3135100,Janaúba,5706,1146.819,
MG,3135209,Januária,8152,2249.644,
MG,3135308,Japaraíba,166,36.469,
MG,3135357,Japonvar,1234,245.585,
MG,3135407,Jeceaba,327,64.406,
MG,3135456,Jenipapo de Minas,585,150.881,
MG,3135506,Jequeri,974,200.991,
MG,3135605,Jequitaí,1332,298.28,
MG,3135704,Jequitibá,433,77.143,
MG,3135803,Jequitinhonha,2898,679.422,
MG,3135902,Jesuânia,440,87.327,
MG,3136009,Joaíma,2530,706.742,
MG,3136108,Joanésia,561,107.6,
MG,3136207,João Monlevade,2709,650.044,
MG,3136306,João Pinheiro,3396,776.818,
MG,3136405,Joaquim Felício,395,81.638,
MG,3136504,Jordânia,914,220.748,
MG,3136520,José Gonçalves de Minas,443,106.101,
MG,3136553,José Raydan,601,136.123,
MG,3136579,Josenópolis,645,171.976,
MG,3136603,Nova União,513,128.277,
MG,3136652,Juatuba,1935,479.279,
MG,3136702,Juiz de Fora,16323,3562.017,
MG,3136801,Juramento,547,136.35,
MG,3136900,Juruaia,249,50.272,
MG,3136959,Juvenília,893,221.851,
MG,3137007,Ladainha,1924,494.847,
MG,3137106,Lagamar,581,114.129,
MG,3137205,Lagoa da Prata,1723,380.17,
MG,3137304,Lagoa dos Patos,541,112.476,
MG,3137403,Lagoa Dourada,545,108.957,
MG,3137502,Lagoa Formosa,782,174.043,
MG,3137536,Lagoa Grande,721,169.062,
MG,3137601,Lagoa Santa,1973,416.985,
MG,3137700,Lajinha,2225,411.15,
MG,3137809,Lambari,1080,250.882,
MG,3137908,Lamim,289,60.595,
MG,3138005,Laranjal,479,101.687,
MG,3138104,Lassance,829,214.958,
MG,3138203,Lavras,3540,688.966,
MG,3138302,Leandro Ferreira,126,27.47,
MG,3138351,Leme do Prado,432,104.027,
MG,3138401,Leopoldina,2091,405.573,
MG,3138500,Liberdade,444,79.521,
MG,3138609,Lima Duarte,1068,230.918,
MG,3138625,Limeira do Oeste,291,71.289,
MG,3138658,Lontra,1279,317.718,
MG,3138674,Luisburgo,726,152.677,
MG,3138682,Luislândia,1002,284.859,
MG,3138708,Luminárias,302,61.561,
MG,3138807,Luz,715,161.444,
MG,3138906,Machacalis,1034,232.837,
MG,3139003,Machado,1272,240.953,
MG,3139102,Madre de Deus de Minas,214,40.774,
MG,3139201,Malacacheta,1579,326.187,
MG,3139250,Mamonas,838,162.974,
MG,3139300,Manga,2449,664.22,
MG,3139409,Manhuaçu,2459,474.814,
MG,3139508,Manhumirim,1946,446.434,
MG,3139607,Mantena,1829,335.844,
MG,3139706,Maravilhas,620,177.16,
MG,3139805,Mar de Espanha,412,95.078,
MG,3139904,Maria da Fé,728,161.66,
MG,3140001,Mariana,4256,1110.832,
MG,3140100,Marilac,668,173.75,
MG,3140159,Mário Campos,817,202.99,
MG,3140209,Maripá de Minas,129,22.878,
MG,3140308,Marliéria,341,75.325,
MG,3140407,Marmelópolis,283,48.229,
MG,3140506,Martinho Campos,682,162.261,
MG,3140530,Martins Soares,826,171.566,
MG,3140555,Mata Verde,1375,371.052,
MG,3140605,Materlândia,634,168.662,
MG,3140704,Mateus Leme,1983,422.537,
MG,3140803,Matias Barbosa,678,150.573,
MG,3140852,Matias Cardoso,1189,285.431,
MG,3140902,Matipó,2153,501.147,
MG,3141009,Mato Verde,1650,262.505,
MG,3141108,Matozinhos,1752,390.701,
MG,3141207,Matutina,121,21.981,
MG,3141306,Medeiros,145,40.619,
MG,3141405,Medina,2058,424.202,
MG,3141504,Mendes Pimentel,743,163.836,
MG,3141603,Mercês,803,153.062,
MG,3141702,Mesquita,484,123.587,
MG,3141801,Minas Novas,2692,591.522,
MG,3141900,Minduri,267,48.769,
MG,3142007,Mirabela,1626,397.851,
MG,3142106,Miradouro,883,153.503,
MG,3142205,Miraí,511,109.444,
MG,3142254,Miravânia,641,149.999,
MG,3142304,Moeda,384,93.469,
MG,3142403,Moema,353,70.292,
MG,3142502,Monjolos,146,25.415,
MG,3142601,Monsenhor Paulo,381,77.68,
MG,3142700,Montalvânia,1910,540.245,
MG,3142809,Monte Alegre de Minas,1213,255.617,
MG,3142908,Monte Azul,2547,463.53,
MG,3143005,Monte Belo,641,115.691,
MG,3143104,Monte Carmelo,1096,178.812,
MG,3143153,Monte Formoso,593,168.902,
MG,3143203,Monte Santo de Minas,887,201.275,
MG,3143302,Montes Claros,15005,2738.957,
MG,3143401,Monte Sião,568,107.842,
MG,3143450,Montezuma,773,161.493,
MG,3143500,Morada Nova de Minas,231,42.263,
MG,3143609,Morro da Garça,158,31.356,
MG,3143708,Morro do Pilar,381,88.461,
MG,3143807,Munhoz,335,66.837,
MG,3143906,Muriaé,4204,851.24,
MG,3144003,Mutum,1726,347.524,
MG,3144102,Muzambinho,774,158.736,
MG,3144201,Nacip Raydan,374,96.762,
MG,3144300,Nanuque,2936,589.322,
MG,3144359,Naque,752,197.773,
MG,3144375,Natalândia,289,75.261,
MG,3144409,Natércia,203,33.006,
MG,3144508,Nazareno,678,134.723,
MG,3144607,Nepomuceno,1031,200.205,
MG,3144656,Ninheira,1406,302.041,
MG,3144672,Nova Belém,559,134.931,
MG,3144706,Nova Era,1061,213.52,
MG,3144805,Nova Lima,2224,475.317,
MG,3144904,Nova Módica,481,106.588,
MG,3145000,Nova Ponte,540,112.206,
MG,3145059,Nova Porteirinha,1048,252.137,
MG,3145109,Nova Resende,829,147.338,
MG,3145208,Nova Serrana,1066,212.663,
MG,3145307,Novo Cruzeiro,3658,934.123,
MG,3145356,Novo Oriente de Minas,1471,386.563,
MG,3145372,Novorizonte,599,161.277,
MG,3145406,Olaria,154,36.746,
MG,3145455,Olhos-d'Água,1169,312.912,
MG,3145505,Olímpio Noronha,212,50.723,
MG,3145604,Oliveira,1509,342.398,
MG,3145703,Oliveira Fortes,124,24.07,
MG,3145802,Onça de Pitangui,183,34.366,
MG,3145851,Oratórios,247,56.714,
MG,3145877,Orizânia,1026,176.987,
MG,3145901,Ouro Branco,1332,308.27,
MG,3146008,Ouro Fino,366,67.079,
MG,3146107,Ouro Preto,3265,730.87,
MG,3146206,Ouro Verde de Minas,1219,309.764,
MG,3146255,Padre Carvalho,889,277.114,
MG,3146305,Padre Paraíso,3144,836.533,
MG,3146404,Paineiras,295,60.935,
MG,3146503,Pains,305,65.472,
MG,3146552,Pai Pedro,676,127.074,
MG,3146602,Paiva,136,22.067,
MG,3146701,Palma,683,177.051,
MG,3146750,Palmópolis,1054,243.01,
MG,3146909,Papagaios,844,166.642,
MG,3147006,Paracatu,3306,749.627,
MG,3147105,Pará de Minas,2676,566.9,
MG,3147204,Paraguaçu,582,114.042,
MG,3147303,Paraisópolis,798,163.93,
MG,3147402,Paraopeba,1339,285.759,
MG,3147501,Passabém,131,27.583,
MG,3147600,Passa Quatro,507,94.479,
MG,3147709,Passa Tempo,259,52.272,
MG,3147808,Passa-Vinte,133,28.433,
MG,3147907,Passos,3757,840.233,
MG,3147956,Patis,912,239.014,
MG,3148004,Patos de Minas,2635,527.007,
MG,3148103,Patrocínio,3086,588.11,
MG,3148202,Patrocínio do Muriaé,454,112.523,
MG,3148301,Paula Cândido,791,161.038,
MG,3148400,Paulistas,492,140.442,
MG,3148509,Pavão,1220,312.111,
MG,3148608,Peçanha,1828,458.582,
MG,3148707,Pedra Azul,3240,759.209,
MG,3148756,Pedra Bonita,1188,241.368,
MG,3148806,Pedra do Anta,398,75.026,
MG,3148905,Pedra do Indaiá,171,38.872,
MG,3149002,Pedra Dourada,285,57.166,
MG,3149101,Pedralva,738,156.703,
MG,3149150,Pedras de Maria da Cruz,1288,308.669,
MG,3149200,Pedrinópolis,175,50.543,
MG,3149309,Pedro Leopoldo,2126,448.74,
MG,3149408,Pedro Teixeira,230,41.17,
MG,3149507,Pequeri,135,35.154,
MG,3149606,Pequi,323,80.779,
MG,3149705,Perdigão,233,56.525,
MG,3149804,Perdizes,525,122.896,
MG,3149903,Perdões,618,113.153,
MG,3149952,Periquito,850,232.039,
MG,3150000,Pescador,516,127.503,
MG,3150109,Piau,159,37.088,
MG,3150158,Piedade de Caratinga,1188,313.522,
MG,3150208,Piedade de Ponte Nova,285,70.353,
MG,3150307,Piedade do Rio Grande,185,29.982,
MG,3150406,Piedade dos Gerais,471,93.075,
MG,3150505,Pimenta,444,111.859,
MG,3150539,Pingo-d'Água,492,111.378,
MG,3150570,Pintópolis,946,219.427,
MG,3150604,Piracema,210,36.672,
MG,3150703,Pirajuba,175,35.309,
MG,3150802,Piranga,1727,417.758,
MG,3150901,Piranguçu,303,69.219,
MG,3151008,Piranguinho,424,97.365,
MG,3151107,Pirapetinga,736,157.227,
MG,3151206,Pirapora,4745,928.256,
MG,3151305,Piraúba,483,115.337,
MG,3151404,Pitangui,1265,265.352,
MG,3151503,Piumhi,1343,293.605,
MG,3151602,Planura,497,108.504,
MG,3151701,Poço Fundo,451,91.976,
MG,3151800,Poços de Caldas,3669,754.209,
MG,3151909,Pocrane,1189,201.015,
MG,3152006,Pompéu,1421,271.518,
MG,3152105,Ponte Nova,3165,659.111,
MG,3152131,Ponto Chique,667,186.585,
MG,3152170,Ponto dos Volantes,1474,420.927,
MG,3152204,Porteirinha,3659,655.198,
MG,3152303,Porto Firme,1738,386.608,
MG,3152402,Poté,1322,268.786,
MG,3152501,Pouso Alegre,3967,874.725,
MG,3152600,Pouso Alto,125,19.755,
MG,3152709,Prados,283,60.226,
MG,3152808,Prata,633,113.768,
MG,3152907,Pratápolis,324,60.175,
MG,3153004,Pratinha,263,68.197,
MG,3153103,Presidente Bernardes,543,105.936,
MG,3153202,Presidente Juscelino,232,55.545,
MG,3153301,Presidente Kubitschek,188,37.36,
MG,3153400,Presidente Olegário,1139,237.375,
